x,y,wall_n,wall_e,wall_s,wall_w,empty,current,start,target
0,0,True,True,False,True,False,False,True,False
1,0,False,False,False,False,True,False,False,False
2,0,True,False,False,True,False,False,False,False
3,0,True,True,False,False,False,False,False,False
4,0,False,False,False,False,True,False,False,False
5,0,False,False,False,False,True,False,False,False
6,0,True,False,False,True,False,False,False,False
7,0,True,True,False,False,False,False,False,False
8,0,True,False,True,True,False,False,False,False
9,0,True,True,False,False,False,False,False,False
0,1,False,False,True,True,False,False,False,False
1,1,True,False,True,False,False,False,False,False
2,1,False,True,True,False,False,False,False,False
3,1,False,True,False,True,False,False,False,False
4,1,False,False,False,False,True,False,False,False
5,1,True,False,False,True,False,False,False,False
6,1,False,True,True,False,False,False,False,False
7,1,False,False,False,True,False,False,False,False
8,1,True,True,False,False,False,False,False,False
9,1,False,True,False,True,False,False,False,False
0,2,False,False,False,False,True,False,False,False
1,2,False,False,False,False,True,False,False,False
2,2,False,False,False,False,True,False,False,False
3,2,False,True,False,True,False,False,False,False
4,2,True,False,True,True,False,True,False,False
5,2,False,True,False,False,False,False,False,False
6,2,True,False,False,True,False,False,False,False
7,2,False,True,True,False,False,False,False,False
8,2,False,False,True,True,False,False,False,False
9,2,False,True,True,False,False,False,False,False
0,3,False,False,False,False,True,False,False,False
1,3,False,False,False,False,True,False,False,False
2,3,False,False,False,False,True,False,False,False
3,3,False,False,True,True,False,False,False,False
4,3,True,False,True,False,False,False,False,False
5,3,False,True,True,False,False,False,False,False
6,3,False,True,False,True,False,False,False,False
7,3,True,False,False,True,False,False,False,False
8,3,True,True,False,False,False,False,False,False
9,3,True,True,False,True,False,False,False,False
0,4,False,False,False,False,True,False,False,False
1,4,False,False,False,False,True,False,False,False
2,4,False,False,False,False,True,False,False,False
3,4,False,False,False,False,True,False,False,False
4,4,True,False,False,True,False,False,False,False
5,4,True,True,False,False,False,False,False,False
6,4,False,False,True,True,False,False,False,False
7,4,False,True,True,False,False,False,False,False
8,4,False,False,True,True,False,False,False,False
9,4,False,True,False,False,False,False,False,False
0,5,True,False,False,True,False,False,False,False
1,5,True,False,True,False,False,False,False,False
2,5,True,True,False,False,False,False,False,False
3,5,True,False,False,True,False,False,False,False
4,5,False,True,True,False,False,False,False,False
5,5,False,False,True,True,False,False,False,False
6,5,True,False,True,False,False,False,False,False
7,5,True,True,False,False,False,False,False,False
8,5,True,False,False,True,False,False,False,False
9,5,False,True,True,False,False,False,False,False
0,6,False,False,True,True,False,False,False,False
1,6,True,True,False,False,False,False,False,False
2,6,False,False,True,True,False,False,False,False
3,6,False,True,True,False,False,False,False,False
4,6,True,False,False,True,False,False,False,False
5,6,True,False,True,False,False,False,False,False
6,6,True,False,True,False,False,False,False,False
7,6,False,True,False,False,False,False,False,False
8,6,False,True,False,True,False,False,False,False
9,6,True,True,False,True,False,False,False,False
0,7,True,True,False,True,False,False,False,False
1,7,False,False,True,True,False,False,False,False
2,7,True,True,False,False,False,False,False,False
3,7,True,False,False,True,False,False,False,False
4,7,False,True,True,False,False,False,False,False
5,7,True,False,False,True,False,False,False,False
6,7,True,True,False,False,False,False,False,False
7,7,False,False,True,True,False,False,False,False
8,7,False,True,True,False,False,False,False,False
9,7,False,True,False,True,False,False,False,False
0,8,False,False,False,True,False,False,False,False
1,8,True,True,False,False,False,False,False,False
2,8,False,True,False,True,False,False,False,False
3,8,False,False,True,True,False,False,False,False
4,8,True,False,True,False,False,False,False,False
5,8,False,True,True,False,False,False,False,False
6,8,False,True,True,True,False,False,False,False
7,8,True,False,False,True,False,False,False,False
8,8,True,False,False,False,False,False,False,False
9,8,False,True,False,False,False,False,False,False
0,9,False,True,True,True,False,False,False,False
1,9,False,False,True,True,False,False,False,False
2,9,False,False,True,False,False,False,False,False
3,9,True,False,True,False,False,False,False,False
4,9,True,False,True,False,False,False,False,False
5,9,True,False,True,False,False,False,False,False
6,9,True,False,True,False,False,False,False,False
7,9,False,True,True,False,False,False,False,False
8,9,False,True,True,True,False,False,False,False
9,9,False,True,True,True,False,False,False,True
