x,y,wall_n,wall_e,wall_s,wall_w,empty,current,start,target
0,0,True,True,False,True,False,False,True,False
1,0,True,False,True,True,False,False,False,False
2,0,True,False,True,False,False,False,False,False
3,0,True,True,False,False,False,False,False,False
4,0,True,True,False,True,False,False,False,False
5,0,True,False,False,True,False,False,False,False
6,0,True,False,True,False,False,False,False,False
7,0,True,False,True,False,False,False,False,False
8,0,True,True,False,False,False,False,False,False
9,0,True,False,False,True,False,False,False,False
10,0,True,True,False,False,False,False,False,False
11,0,True,False,False,True,False,False,False,False
12,0,True,False,True,False,False,False,False,False
13,0,True,True,False,False,False,False,False,False
14,0,True,False,True,True,False,False,False,False
15,0,True,False,False,False,False,False,False,False
16,0,True,True,True,False,False,False,False,False
17,0,True,False,False,True,False,False,False,False
18,0,True,True,False,False,False,False,False,False
19,0,True,True,False,True,False,False,False,False
0,1,False,False,True,True,False,False,False,False
1,1,True,False,False,False,False,False,False,False
2,1,True,True,False,False,False,False,False,False
3,1,False,True,False,True,False,False,False,False
4,1,False,False,True,True,False,False,False,False
5,1,False,False,True,False,False,False,False,False
6,1,True,True,False,False,False,False,False,False
7,1,True,True,False,True,False,False,False,False
8,1,False,True,False,True,False,False,False,False
9,1,False,True,False,True,False,False,False,False
10,1,False,True,True,True,False,False,False,False
11,1,False,False,True,True,False,False,False,False
12,1,True,True,False,False,False,False,False,False
13,1,False,False,True,True,False,False,False,False
14,1,True,False,True,False,False,False,False,False
15,1,False,True,False,False,False,False,False,False
16,1,True,False,False,True,False,False,False,False
17,1,False,True,True,False,False,False,False,False
18,1,False,True,False,True,False,False,False,False
19,1,False,True,False,True,False,False,False,False
0,2,True,False,False,True,False,False,False,False
1,2,False,True,True,False,False,False,False,False
2,2,False,False,True,True,False,False,False,False
3,2,False,True,False,False,False,False,False,False
4,2,True,False,False,True,False,False,False,False
5,2,True,True,False,False,False,False,False,False
6,2,False,True,False,True,False,False,False,False
7,2,False,False,True,True,False,False,False,False
8,2,False,False,True,False,False,False,False,False
9,2,False,True,True,False,False,False,False,False
10,2,True,False,False,True,False,False,False,False
11,2,True,True,False,False,False,False,False,False
12,2,False,False,True,True,False,False,False,False
13,2,True,False,True,False,False,False,False,False
14,2,True,True,False,False,False,False,False,False
15,2,False,False,True,True,False,False,False,False
16,2,False,False,True,False,False,False,False,False
17,2,True,True,False,False,False,False,False,False
18,2,False,False,True,True,False,False,False,False
19,2,False,True,False,False,False,False,False,False
0,3,False,False,True,True,False,False,False,False
1,3,True,True,False,False,False,False,False,False
2,3,True,False,True,True,False,False,False,False
3,3,False,True,False,False,False,False,False,False
4,3,False,True,False,True,False,False,False,False
5,3,False,True,False,True,False,False,False,False
6,3,False,False,False,True,False,False,False,False
7,3,True,True,False,False,False,False,False,False
8,3,True,False,True,True,False,False,False,False
9,3,True,True,False,False,False,False,False,False
10,3,False,True,False,True,False,False,False,False
11,3,False,True,False,True,False,False,False,False
12,3,True,False,False,True,False,False,False,False
13,3,True,False,True,False,False,False,False,False
14,3,False,True,True,False,False,False,False,False
15,3,True,False,False,True,False,False,False,False
16,3,True,True,True,False,False,False,False,False
17,3,False,False,True,True,False,False,False,False
18,3,True,True,False,False,False,False,False,False
19,3,False,True,False,True,False,False,False,False
0,4,True,False,True,True,False,False,False,False
1,4,False,False,True,False,False,False,False,False
2,4,True,True,False,False,False,False,False,False
3,4,False,True,False,True,False,False,False,False
4,4,False,True,False,True,False,False,False,False
5,4,False,True,False,True,False,False,False,False
6,4,False,True,False,True,False,False,False,False
7,4,False,False,True,True,False,False,False,False
8,4,True,True,False,False,False,False,False,False
9,4,False,False,False,True,False,False,False,False
10,4,False,True,True,False,False,False,False,False
11,4,False,True,False,True,False,False,False,False
12,4,False,False,True,True,False,False,False,False
13,4,True,False,True,False,False,False,False,False
14,4,True,True,False,False,False,False,False,False
15,4,False,False,True,True,False,False,False,False
16,4,True,True,False,False,False,False,False,False
17,4,True,False,False,True,False,False,False,False
18,4,False,True,True,False,False,False,False,False
19,4,False,True,False,True,False,False,False,False
0,5,True,False,False,True,False,False,False,False
1,5,True,False,True,False,False,False,False,False
2,5,False,True,True,False,False,False,False,False
3,5,False,True,False,True,False,False,False,False
4,5,False,True,False,True,False,False,False,False
5,5,False,True,False,True,False,False,False,False
6,5,False,False,False,True,False,False,False,False
7,5,True,True,True,False,False,False,False,False
8,5,False,True,False,True,False,False,False,False
