x,y
0,0
0,0
0,1
1,1
2,1
1,2
2,2
3,2
3,3
3,4
3,5
3,6
0,2
3,1
2,3
2,6
0,3
1,3
1,4
2,4
2,5
3,0
0,4
1,5
2,0
0,5
0,6
1,6
1,7
1,0
0,7
0,8
1,8
2,8
3,8
2,7
3,7
4,7
4,8
5,8
4,6
5,7
6,7
6,8
6,9
7,9
6,10
7,10
8,10
8,11
9,11
4,5
5,10
9,10
4,4
4,10
9,9
4,3
4,9
8,9
5,9
4,2
8,8
5,2
5,3
5,4
5,5
5,6
8,7
9,7
10,7
8,6
9,6
10,6
11,6
8,5
10,5
8,4
9,5
7,4
9,4
10,4
7,3
9,3
10,3
6,3
8,3
10,2
6,4
11,2
6,5
11,3
7,5
6,6
11,4
7,6
11,5
7,7
12,5
7,8
13,5
13,6
6,2
12,6
12,7
12,8
12,9
12,10
6,1
11,7
11,8
11,9
11,10
5,1
10,10
10,11
11,11
12,11
13,11
14,11
5,0
4,1
10,9
14,10
6,0
7,0
8,0
8,1
8,2
9,2
4,0
10,8
13,10
7,2
9,1
9,8
13,9
7,1
9,0
14,9
10,0
10,1
13,8
14,8
13,7
14,7
15,7
15,8
14,6
15,6
16,6
16,7
16,8
17,8
16,9
17,9
18,9
19,9
15,9
19,8
15,10
16,10
17,10
18,10
17,11
19,10
18,11
19,11
18,12
19,12
19,13
18,8
17,12
18,13
18,7
16,12
17,13
17,7
15,12
16,13
15,13
17,6
15,11
14,13
16,11
14,14
17,5
13,13
13,14
17,4
13,12
18,4
14,12
12,12
18,3
11,12
17,3
10,12
17,2
9,12
16,2
9,13
10,13
9,14
11,13
10,14
11,14
10,15
12,14
10,16
11,16
11,17
11,18
12,18
12,19
16,1
15,2
9,15
12,13
11,15
11,19
17,1
12,15
13,15
14,15
15,15
15,1
10,19
17,0
15,14
18,0
16,14
18,1
17,14
18,2
18,14
17,15
19,2
19,14
18,15
19,3
19,15
19,4
19,16
19,5
19,6
19,7
15,0
14,1
10,18
19,1
18,16
18,6
16,0
14,0
13,1
10,17
9,18
19,0
17,16
18,5
9,19
17,17
18,17
19,17
18,18
19,18
18,19
19,19
