x,y
0,0
0,1
1,1
1,2
0,2
0,3
1,3
1,4
2,4
2,5
1,5
0,5
0,6
1,6
1,7
0,7
0,8
1,8
2,8
2,7
3,7
4,7
4,8
5,8
5,7
6,7
6,8
6,9
7,9
7,10
8,10
8,11
9,11
9,10
9,9
8,9
8,8
8,7
9,7
10,7
10,6
10,5
9,5
9,4
10,4
10,3
10,2
11,2
11,3
11,4
11,5
12,5
13,5
13,6
12,6
12,7
11,7
11,8
11,9
11,10
10,10
10,11
11,11
12,11
13,11
14,11
14,10
13,10
13,9
14,9
14,8
14,7
14,6
15,6
16,6
16,7
16,8
16,9
15,9
15,10
16,10
17,10
17,11
18,11
18,12
17,12
16,12
15,12
15,13
14,13
13,13
13,12
12,12
11,12
10,12
9,12
9,13
9,14
10,14
10,15
10,16
11,16
11,15
12,15
13,15
14,15
15,15
15,14
16,14
17,14
18,14
19,14
19,15
19,16
18,16
17,16
17,17
18,17
18,18
18,19
19,19
