x,y
0,3
0,7
0,10
0,14
0,28
0,41
1,0
1,17
1,24
1,30
1,32
1,39
2,9
2,20
2,34
2,36
2,42
2,48
3,1
3,7
3,12
3,29
3,38
4,20
4,24
4,37
4,40
5,2
5,5
5,13
5,16
5,18
5,39
5,48
6,24
6,30
6,43
6,45
7,1
7,8
7,15
7,37
8,3
8,11
8,25
8,33
8,48
9,0
9,16
9,24
9,45
10,5
10,26
10,28
10,34
10,43
11,1
11,10
11,20
11,30
11,47
11,49
12,13
12,15
12,27
12,36
12,38
12,42
13,1
13,3
13,6
13,11
13,25
13,34
13,37
13,44
13,46
14,8
14,12
14,21
14,32
14,41
14,49
15,14
15,24
15,33
15,42
15,47
16,5
16,12
16,31
16,36
16,39
16,45
17,18
17,23
17,47
17,49
18,11
18,14
18,16
18,25
18,30
18,37
18,40
19,8
19,12
19,17
19,31
19,39
19,46
20,20
21,0
21,7
21,14
21,16
21,26
21,29
22,10
22,12
22,22
22,34
22,41
22,47
23,18
23,29
24,3
24,7
24,19
24,24
25,1
25,5
25,8
25,15
25,17
25,26
25,28
25,40
25,42
26,3
26,6
26,12
26,20
26,25
26,32
26,46
27,0
27,14
27,16
27,37
27,44
27,48
28,7
28,10
28,20
28,32
28,42
28,46
29,3
29,28
29,30
29,38
29,48
30,0
30,10
30,35
30,39
31,25
31,33
31,43
32,0
32,7
32,15
32,18
32,22
32,28
32,30
32,48
33,2
33,6
33,32
33,34
33,39
33,46
34,4
34,20
34,25
35,5
35,24
35,44
36,3
36,9
36,27
36,32
36,36
36,39
36,48
37,34
38,9
38,16
38,21
38,33
38,36
39,2
39,40
39,46
40,8
40,13
40,16
40,34
40,38
40,42
41,5
41,11
41,22
41,28
41,45
42,0
42,18
42,47
43,7
43,16
43,21
43,29
43,36
43,45
44,1
44,25
44,28
44,40
44,43
45,12
45,18
45,33
46,4
46,14
46,16
46,20
46,24
46,31
46,36
46,40
46,43
47,0
47,10
47,29
48,12
48,46
48,49
49,3
49,9
49,14
49,22
49,31
49,41
49,44
0,4
0,6
0,11
0,15
0,27
2,0
1,16
0,24
1,31
2,39
3,9
2,19
1,34
1,36
2,43
1,48
3,0
3,6
3,28
2,38
3,24
6,13
4,16
6,25
6,44
7,45
7,0
7,38
8,4
9,11
8,24
8,47
9,15
8,45
10,6
10,27
11,28
11,34
10,44
12,1
10,10
11,21
12,30
12,47
10,49
11,13
11,27
11,42
14,3
13,7
12,34
12,37
12,46
15,8
14,20
15,15
15,23
16,33
16,42
15,5
16,32
15,36
16,40
16,44
17,22
16,47
17,48
18,15
17,16
18,26
18,29
18,41
18,8
19,11
19,30
19,40
20,46
22,0
21,8
22,14
21,17
22,29
23,12
22,21
22,33
23,41
22,46
23,17
25,3
24,8
25,2
26,26
26,28
25,39
25,43
26,2
26,13
26,14
27,17
27,38
26,48
28,11
28,21
28,33
29,4
29,49
29,0
30,11
31,39
32,43
31,0
32,6
32,14
32,19
32,23
31,28
33,30
33,48
34,34
32,39
34,46
35,4
35,20
34,26
36,24
35,43
36,2
37,9
37,27
36,40
35,48
38,17
37,21
39,3
38,46
40,9
40,33
40,37
40,41
41,21
42,45
42,1
43,18
42,48
43,6
44,29
43,35
44,2
45,25
44,39
44,12
45,19
44,33
46,5
47,14
45,20
47,24
46,30
47,40
48,0
46,10
47,28
47,46
49,2
49,8
49,13
49,23
49,32
49,42
0,5
1,6
0,12
1,15
0,26
0,16
0,25
2,31
3,10
3,19
0,36
2,44
1,47
4,0
4,6
4,28
1,38
3,25
7,13
6,26
7,44
8,0
6,38
7,4
7,24
8,46
9,14
10,7
9,27
10,45
10,11
12,21
10,42
15,3
13,8
12,35
11,37
11,46
15,9
15,20
15,22
16,43
15,4
15,32
18,22
16,48
17,15
18,27
18,28
17,8
19,10
19,29
20,40
23,0
23,14
22,17
22,28
23,13
22,20
22,32
23,40
23,46
24,17
23,8
24,2
27,26
27,28
26,39
25,44
27,2
27,13
27,18
26,38
26,47
28,12
28,22
29,33
29,5
28,0
31,11
32,42
31,6
33,14
32,24
30,28
34,30
33,49
34,35
32,38
35,46
35,19
34,43
36,1
37,8
37,26
37,40
34,48
37,17
36,21
38,3
38,47
41,9
40,32
40,40
41,20
42,46
43,1
42,49
44,6
44,30
42,35
43,2
45,24
43,39
43,12
44,19
47,5
44,20
47,30
48,40
49,0
46,9
48,28
47,47
48,2
49,7
49,12
49,24
