x,y
0,0
0,1
0,2
1,2
1,1
2,1
2,2
3,2
4,2
4,1
5,1
5,0
6,0
6,1
6,2
7,2
7,3
6,3
6,4
6,5
6,6
5,6
5,7
6,7
6,8
5,8
5,9
6,9
6,10
5,10
5,11
6,11
7,11
7,10
8,10
9,10
9,9
10,9
11,9
12,9
13,9
13,10
12,10
12,11
12,12
13,12
13,13
14,13
14,14
14,15
13,15
13,14
12,14
11,14
11,15
11,16
12,16
13,16
14,16
15,16
15,17
14,17
14,18
15,18
16,18
16,19
16,20
17,20
17,19
18,19
18,20
19,20
19,21
20,21
21,21
21,22
20,22
19,22
19,23
18,23
18,24
17,24
17,25
17,26
16,26
16,25
15,25
15,26
15,27
14,27
14,28
15,28
16,28
16,27
17,27
17,28
17,29
16,29
16,30
17,30
17,31
18,31
18,32
18,33
18,34
19,34
19,35
19,36
19,37
19,38
18,38
18,39
17,39
17,40
17,41
16,41
15,41
15,40
15,39
15,38
15,37
16,37
16,38
17,38
17,37
17,36
18,36
18,35
17,35
16,35
15,35
14,35
13,35
13,36
14,36
14,37
14,38
13,38
13,39
14,39
14,40
13,40
12,40
12,39
11,39
11,38
10,38
10,39
10,40
11,40
11,41
12,41
13,41
13,42
14,42
14,43
13,43
12,43
11,43
11,44
12,44
12,45
13,45
14,45
14,44
15,44
15,45
15,46
16,46
17,46
17,45
17,44
17,43
17,42
18,42
18,43
18,44
18,45
18,46
18,47
19,47
19,48
18,48
18,49
19,49
20,49
21,49
22,49
23,49
24,49
24,48
25,48
25,49
26,49
27,49
28,49
28,48
28,47
27,47
27,46
27,45
26,45
26,44
26,43
27,43
28,43
28,44
28,45
29,45
29,44
29,43
30,43
30,44
31,44
32,44
33,44
33,43
33,42
34,42
34,41
35,41
36,41
37,41
37,42
37,43
37,44
38,44
38,45
39,45
39,44
40,44
41,44
42,44
42,43
42,42
42,41
43,41
44,41
44,42
43,42
43,43
43,44
44,44
44,45
45,45
46,45
46,46
46,47
46,48
45,48
44,48
44,49
45,49
46,49
47,49
47,48
48,48
49,48
49,49
